2019-09-17 18:58:39,36.6690250615,-277.08622455596924
2019-09-17 21:49:47,36.8220482406,-2162.1001625061035
2019-09-17 21:57:18,37.0518659652,734.2570161819458
2019-09-17 22:17:29,38.8785786782,727.8783655166626
2019-09-17 22:28:34,38.4644838689,-11300.171461105347
2019-09-17 22:29:36,37.0974018195,-10570.183959007263
2019-09-17 22:30:38,39.3161679164,-10590.137686729431
2019-09-17 22:31:39,35.4349791563,-10590.996351242065
2019-09-17 22:32:41,37.0328857665,-10590.95546245575
2019-09-17 22:33:43,36.9326520569,-10570.756402015686
2019-09-17 22:34:45,42.2478677125,-10590.301241874695
2019-09-17 22:35:46,40.8221922632,-10590.669240951538
2019-09-17 22:36:48,37.3630775147,-10590.423908233643
2019-09-17 22:37:50,42.7440597446,-10590.996351242065
2019-09-17 22:38:52,40.3768223224,-10590.791907310486
2019-09-17 22:39:53,38.949757094,-10589.44257736206
2019-09-17 22:40:55,36.4555158506,-10590.914573669434
2019-09-17 22:41:57,39.3423981985,-10590.301241874695
2019-09-17 22:42:59,41.4539343806,-10590.423908233643
2019-09-17 22:44:01,37.1386334587,-10590.587463378906
2019-09-17 22:45:02,38.7723706644,-10590.791907310486
2019-09-17 22:46:04,37.2440987816,-10590.301241874695
2019-09-17 22:47:06,38.2009892465,-10590.505685806274
2019-09-17 22:48:08,39.6523634114,-10590.383019447327
2019-09-17 22:49:09,40.9183280952,-10590.587463378906
2019-09-17 22:50:11,41.6301552238,-10590.219464302063
2019-09-17 22:51:13,36.9792415113,-10570.51106929779
2019-09-17 22:52:15,35.9063827294,-10569.938626289368
2019-09-17 22:53:16,40.8981850913,-10589.524354934692
2019-09-17 22:54:18,36.8386522669,-10570.061292648315
2019-09-17 22:55:20,40.4212546833,-10590.423908233643
2019-09-17 22:56:22,35.223480361,-10590.096797943115
2019-09-17 22:57:23,40.3089199679,-10590.383019447327
2019-09-17 22:58:25,38.1935699143,-10590.178575515747
2019-09-17 22:59:27,39.2065342786,-10590.178575515747
2019-09-17 23:00:29,40.6125692543,-10589.524354934692
2019-09-17 23:01:31,36.2170876691,-10570.143070220947
2019-09-17 23:02:32,36.2093373142,-10589.933242797852
2019-09-17 23:03:34,37.2206378792,-10570.347514152527
2019-09-17 23:04:36,37.9243007302,-10570.879068374634
2019-09-17 23:05:38,37.3769081316,-10570.633735656738
2019-09-17 23:06:39,37.9672994599,-10570.51106929779
2019-09-17 23:07:41,37.373804361,-10570.183959007263
2019-09-17 23:08:43,37.1068860969,-10570.592846870422
2019-09-17 23:09:45,35.9189467586,-10570.51106929779
2019-09-17 23:10:46,39.1089211574,-10590.383019447327
2019-09-17 23:11:48,34.694354028,-10570.51106929779
2019-09-17 23:12:50,38.2173187437,-10570.306625366211
2019-09-17 23:13:52,39.5743845777,-10569.856848716736
2019-09-17 23:14:53,41.2839580437,-10590.54657459259
2019-09-17 23:15:55,38.5192454867,-10570.265736579895
2019-09-17 23:16:57,36.1375978743,-10570.551958084106
2019-09-17 23:17:59,39.7461789852,-10590.75101852417
2019-09-17 23:19:01,34.885596498,-11553.722825050354
